study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,mean_change_arm1,mean_change_arm2,sd_change_arm1,sd_change_arm2,n_change_arm1,n_change_arm2,dich_paper,event_arm1,event_arm2,totaln_arm1,totaln_arm2,precalc_g,precalc_g_se,precalc_log_rr,precalc_log_rr_se,other_stat,bl_mean_arm1,bl_sd_arm1,bl_n_arm1,bl_mean_arm2,bl_sd_arm2,bl_n_arm2,rand_arm1,rand_arm2,attr_arm1,attr_arm2,ROB_mod_arm_1,ROB_mod_arm_2,year,time_weeks,time_weeks_needs_cleaning,time,comorbid_mental,format,format_details,n_sessions_arm1,country,age_group,mean_age,percent_women,recruitment,diagnosis,target_group,rob,.id,.g,.g_se,notes
"Mattick, 1989",Exposure,wlc,Exposure,wlc,msd,BAT,cr,72.5,21.3,11,31.4,19.1,10,,,,,,,,,,,,,,,,,23.2,12.3,11,23.3,13.7,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_BAT_post_NA_cr_Exposure_wlc_Exposure_wlc,1.94482802,0.5372394334,
"Mattick, 1989",cbt,wlc,cbt,wlc,msd,BAT,cr,79.9,24.9,11,31.4,19.1,10,,,,,,,,,,,,,,,,,18.8,8.3,11,23.3,13.7,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_BAT_post_NA_cr_cbt_wlc_cbt_wlc,2.084049195,0.5505607893,
"Mersch, 1995",other psy,wlc,,,msd,FQ,self-report,17.28,5.33,20,22.27,4.89,10,,,,,,,,,,,,,,,,,21.94,6.48,24,23.07,5.74,10,24,12,4,2,0.8333333333,0.8333333333,1995,,15,post,n,ind,ind,14,eu,adul,35.6,0.324,com,sad,adul,,Mersch_1995_msd_FQ_post_NA_self-report_otherpsy_wlc_NA_NA,0.9350033992,0.4066832167,
"Mersch, 1995",other psy,wlc,,,msd,SASSI,self-report,33.96,11.19,20,45.73,20.58,10,,,,,,,,,,,,,,,,,49.57,14.65,24,49.12,16.09,10,24,12,4,2,0.8333333333,0.8333333333,1995,,15,post,n,ind,ind,14,eu,adul,35.6,0.324,com,sad,adul,,Mersch_1995_msd_SASSI_post_NA_self-report_otherpsy_wlc_NA_NA,0.7701550823,0.4005527156,
"Mersch, 1995",other psy,wlc,,,msd,FNE,self-report,39.17,8.4,20,42.14,9.06,10,,,,,,,,,,,,,,,,,47.64,9.22,24,42.93,9.97,10,24,12,4,2,0.8333333333,0.8333333333,1995,,15,post,n,ind,ind,14,eu,adul,35.6,0.324,com,sad,adul,,Mersch_1995_msd_FNE_post_NA_self-report_otherpsy_wlc_NA_NA,0.3353266077,0.3898456443,
"Mörtberg, 2006",cbt,wlc,,,other stat,LSAS-SR,self-report,,,12,,,12,,,,,,,,,,,,1.3132,0.453,,,"LSAS (F(1, 21) = 11.1, P < .01)",NR,NR,13,NR,NR,13,13,13,1,1,0.9230769231,0.9230769231,2006,,3,post,n,grp,grp,,eu,adul,33.35,0.654,clin,sad,adul,,Mörtberg_2006_otherstat_LSAS-SR_post_NA_self-report_cbt_wlc_NA_NA,1.3132,0.453,"Intesivive day long session with a break, a morning and afternoon session seperately. "
"Mörtberg, 2006",cbt,wlc,,,other stat,SIAS,self-report,,,12,,,12,,,,,,,,,,,,0.8078,0.4257,,,"SIAS (F(1, 21) = 4.2, P < .05)",NR,NR,13,NR,NR,13,13,13,1,1,0.9230769231,0.9230769231,2006,,3,post,n,grp,grp,,eu,adul,33.35,0.654,clin,sad,adul,,Mörtberg_2006_otherstat_SIAS_post_NA_self-report_cbt_wlc_NA_NA,0.8078,0.4257,"Intesivive day long session with a break, a morning and afternoon session seperately. "
"Mörtberg, 2007",cbt,cau,cbt (ind),wlc,msd,SPWSS,self-report,2.7,2.3,32,3.7,2.2,33,,,,,,,,,,,,,,,,,5.4,1.7,32,4.6,2.1,33,32,33,4,15,0.875,0.5454545455,2007,,17.33,post,n,ind,ind,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_SPWSS_post_NA_self-report_cbt_cau_cbt(ind)_wlc,0.4391788359,0.2511430273,
"Mörtberg, 2007",cbt,cau,cbt (grp),wlc,msd,SPWSS,self-report,4,1.9,35,3.7,2.2,33,,,,,,,,,,,,,,,,,4.9,1.4,35,4.6,2.1,33,35,33,9,15,0.7428571429,0.5454545455,2007,,17.33,post,n,grp,grp,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_SPWSS_post_NA_self-report_cbt_cau_cbt(grp)_wlc,-0.1446057116,0.2429645726,
"Mörtberg, 2007",cbt,cau,cbt (ind),wlc,msd,FQ sp,self-report,14.6,7.6,32,18.7,8.4,33,,,,,,,,,,,,,,,,,22.3,8.6,32,21.5,7.3,33,32,33,4,15,0.875,0.5454545455,2007,,17.33,post,n,ind,ind,16,eu,adul,34.6,0.63,com,sad,adul,,Mörtberg_2007_msd_FQsp_post_NA_self-report_cbt_cau_cbt(ind)_wlc,0.5053428109,0.2521214757,
